client_hash_id,decline_score,reason_codes
client_fef1a8f436438636,1.0,unstable ranking position; over-reliant on one query
client_73cda7b4e4f265ea,1.0,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,1.0,unstable ranking position; already low impressions; over-reliant on one query
client_fef1a8f436438636,1.0,over-reliant on one query
client_e5c2aa26a8598242,1.0,"moderate signals, no single driver"
client_73cda7b4e4f265ea,1.0,unstable ranking position; relies on rare/long-tail queries; already low impressions; over-reliant on one query
client_fef1a8f436438636,1.0,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,1.0,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,1.0,over-reliant on one query
client_fef1a8f436438636,1.0,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,1.0,already low impressions; over-reliant on one query
client_8ddc46da5414ffd8,0.995,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.995,unstable ranking position; over-reliant on one query
client_73cda7b4e4f265ea,0.995,unstable ranking position
client_fef1a8f436438636,0.995,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.995,unstable ranking position; over-reliant on one query
client_fef1a8f436438636,0.995,unstable ranking position; already low impressions; over-reliant on one query
client_fef1a8f436438636,0.995,unstable ranking position; over-reliant on one query
client_62f4a7e64f5e0096,0.995,over-reliant on one query
client_73cda7b4e4f265ea,0.995,"moderate signals, no single driver"
client_fef1a8f436438636,0.995,already low impressions; over-reliant on one query
client_fef1a8f436438636,0.995,"moderate signals, no single driver"
client_e5c2aa26a8598242,0.995,"moderate signals, no single driver"
client_fef1a8f436438636,0.995,over-reliant on one query
client_fef1a8f436438636,0.995,already low impressions; over-reliant on one query
client_62f4a7e64f5e0096,0.995,over-reliant on one query
client_8ddc46da5414ffd8,0.995,"moderate signals, no single driver"
client_fef1a8f436438636,0.995,unstable ranking position; over-reliant on one query
client_62f4a7e64f5e0096,0.995,unstable ranking position
client_fef1a8f436438636,0.995,over-reliant on one query
client_e5c2aa26a8598242,0.995,over-reliant on one query
client_fef1a8f436438636,0.995,over-reliant on one query
client_fef1a8f436438636,0.99,"moderate signals, no single driver"
client_73cda7b4e4f265ea,0.99,over-reliant on one query
client_73cda7b4e4f265ea,0.99,unstable ranking position; over-reliant on one query
client_62f4a7e64f5e0096,0.99,over-reliant on one query
client_9958f0a7ae1df715,0.99,over-reliant on one query
client_e5c2aa26a8598242,0.99,"moderate signals, no single driver"
client_fef1a8f436438636,0.99,over-reliant on one query
